country_code,gci_overall,p_1_institutions,p_2_infrastructure,p_3_ict,p_4_macroeconomic,p_5_health,p_6_skills,p_7_product,p_8_labour,p_9_financial,p_10_market,p_11_business,p_12_innovation,gdp_us,gdp_growth_annual,gdp_per_capita_us,gdp_per_capita_growth_annual,gdp_per_capita_ppp,gdp_ppp,gdp_growth_decade,gini_index,unemployment_pctg,happiness_score,happiness_rank,ggi_index,ggi_rank,co2,consumption_co2_per_capita,ren_gen_twh_19,ren_gen_growth_19,rene_gen_growth_08_18,renewable_cons_exj,total_consumption,renewable_cons_prop,gsci_score,gsci_nat_cap_score,gsci_res_intense_score,gsci_soc_cap_score,gsci_intellect_cap_score,gsci_governance_score
ALB,58.10159560077285,53.88066545415408,57.31939977853057,52.33629074370434,70,86.77855656678814,68.71946420805557,57.02811836716268,64.78416327024307,51.32779010660878,39.24731809497478,64.06858600838197,31.72879461067026,15147020535.3869,4.07130129479023,5284.38018438156,4.32839557846702,13974.0116065658,40054771492.7815,2.650363315654369,33.2,11.6999998092651,4.719,107,0.734,34,5.403,2.16,NA,NA,NA,NA,NA,NA,47.437460319248856,51.426973278633376,49.7157496452791,45.245036101083045,41.66039145063889,49.139151120609874
DZA,53.75071304045688,44.38538276096767,61.22711688227268,47.19435696277711,68.50373611111111,81.47548505510032,57.42068936624999,45.41833387337869,43.97730490629052,47.83913890451566,66.35273745118589,51.31756132110021,29.89671289053278,175405660377.358,1.2000000000002,4153.73397805915,-0.811208543893287,11925.7985636431,503607737913.103,2.87777777777777,27.6,12.8299999237061,5.211,88,0.629,128,NA,NA,0.625,0.015816666477314945,0,0.005571487095452682,2.5381431363673905,0.002195103584042402,41.1021053857452,40.96186888803524,39.76209995270377,41.623495788206974,35.67290362877126,47.490158671008714
AGO,37.05578811218694,37.23113050358261,40.73262357650129,27.37884693196022,31.0625,50.91726975207813,31.11003358541667,37.51731425280372,43.48180236558805,40.05182752691219,53.92228695373128,34.48206185502512,16.78176004264407,101353230784.594,-2.00362972730201,3289.64666408633,-5.16210163078421,7102.40588709233,218823435008.714,2.4897719993634797,51.3,7.69999980926514,NA,NA,0.633,125,NA,NA,NA,NA,NA,NA,NA,NA,40.32732593396282,55.739397719651244,55.489831310105615,34.99939831528278,21.297423080863744,34.110579243910706
ARG,57.48611008877519,51.543165390656434,67.60645267632543,56.21602038600092,44.89583333333334,85.07435810978721,68.42348783138888,48.27708753304297,50.73862579170227,52.52552195442656,68.64200764900346,55.42432078428632,40.46643962534843,517626700412.718,-2.56535187644216,11633.4980086465,-3.55009116736244,23313.8179401811,1037336718967.02,1.7666245483306888,41.4,11.6700000762939,6.086,47,0.733,36,185.03,4.228,8.19297833926771,1.0340006794797256,0.08090091154975387,0.13899454929874802,3.4627693716586956,0.040139707378827966,48.062941492334566,57.895176129878216,47.92945259750987,47.374849578820694,34.3654001947064,52.749828960757625
ARM,59.86148111465999,54.00025512388505,66.2678479992795,59.18879839392562,72.40859722222223,82.7179801957631,67.56308842666667,61.18321812858881,64.99919594069702,54.21101715302686,36.73671092958939,60.21297941911318,38.84808444316232,12457941907.0333,5.19999999965324,4220.49027671249,4.95169918007967,13024.6948100321,38445981547.5774,4.122222222281215,34.4,20.2099990844727,4.559,116,0.678,98,6.297,2.157,NA,NA,NA,NA,NA,NA,47.24765752852545,39.27380482897385,48.895160018918496,51.56302647412755,38.38591480096507,58.12038151964228
AUS,78.85166974580595,73.62990834363268,77.92436337658884,73.45848541621865,100,98.54486809145283,80.988379775,70.23152822526455,68.51655587123611,85.62997140151953,72.28608027824879,75.18901422435184,69.82088194615753,1432881172002.17,2.94928577160958,57354.9640455891,1.37996022097906,51390.5028543034,1283872898972.17,2.6421716329062446,34.4,6.6100001335144,7.228,11,0.73,39,415.954,15.219,41.05111558893802,0.26840231576005125,0.1532786761512066,0.4216862651660096,6.409584517554568,0.06578995315704089,50.21317012478893,55.48823045583396,43.03488596614208,54.52166064981948,46.412438716489454,51.60863483565968
AUT,76.33810153820535,72.70312474222115,88.31753955058863,64.69072528369668,100,96.67250939553158,78.38436355208333,66.54698750014092,67.32750638327562,72.94912510083864,64.32726326716663,69.8592186573365,74.27885502558465,455094861902.062,2.58012073304926,51478.2852619277,2.0816965919734,58850.7601106449,520271380624.119,1.567862353659284,29.7,5.76999998092651,7.246,10,0.718,53,66.72,10.476,13.573681091833,0.0975506281911851,0.06222306357567553,0.14237980096387293,1.4998381697302703,0.09493010901934733,56.67429566072613,51.17664813486168,49.1035968370174,60.89891696750902,59.739120350482146,62.453196013760376
AZE,60.04414805382071,55.77434837133713,73.63760401954151,54.03050746104325,59.81616666666667,73.12729534822657,67.83274288055554,61.39543742374541,63.56658249779566,52.63894892852409,53.95386500086921,68.80309186781025,35.95318617973323,47112941176.4706,1.50040170699388,4739.84171028393,0.624884409708628,14555.7967348653,144681286267.109,1.5222388509638431,NA,6.26999998092651,5.208,90,0.68,97,37.488,3.964,0.25954434389140274,0.27659656589001935,0,0.0023136767403018938,0.6557243083645863,0.0035284291138639274,45.07803560546149,43.562496035790474,46.32839350465079,47.87876052948254,38.18926518137861,49.43126277600501
BHR,63.63291244666616,60.88054004346441,77.95692945582283,66.74141313529537,65.28825,79.24701937433407,73.57531773385416,62.98279220174619,63.0448543318339,70.26478715998087,45.78003965976821,61.89015868203688,35.94284758185702,37652500000,1.77943344650697,23991.05667694,-3.10804991646285,47353.1183775409,74317830753.3293,3.5474492420197734,NA,4.09000015258789,6.199,37,0.627,132,31.594,11.243,NA,NA,NA,NA,NA,NA,41.304337136120225,30.252011074487278,42.40800882862997,43.3310770156438,40.1715488500296,50.35903991181042
BGD,52.07923886957091,46.4507653640453,53.38440171303687,39.80366149666712,72.59833333333333,71.15507062210062,43.97197328222222,47.81705884272022,50.86331284652934,51.79320027267819,66.51572529556218,49.97544932169954,30.62191404425591,274039092455.306,7.86374303036237,1698.35039428122,6.73705130340723,4549.61764626729,734108282366.193,6.605147406005022,32.4,5.30000019073486,4.456,125,0.721,48,85.719,0.669,0.4334566413029373,0.3902637355305003,0.32080755643527303,0.0038639969335321246,1.7581835724992263,0.0021977209854369887,43.298755371359135,40.13573444725318,60.820116664039084,41.46720818291215,19.866202371045688,54.20451519154556
