year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,quality_score
1966,DNK,EFProdPerCap,1.68455509,0.012062516,0.280666702,1.588389812,0.138065051,3.442493128,7.1462323,3A
1966,DNK,EFProdTotGHA,8079952.038,57857.74054,1346215.095,7618696.224,662227.6703,16511884.67,34276833.44,3A
1967,DNK,AreaPerCap,0.71244864,0.031965233,0.111625042,2.06202187,0.058842899,0,2.976903685,3A
1967,DNK,AreaTotHA,3442373.718,154448.0162,539344.2974,9963174.171,284314.1752,0,14383654.38,3A
1967,DNK,BiocapPerCap,1.782640821,0.011896799,0.431280238,2.181278841,0.147232723,0,4.554329421,3A
1967,DNK,BiocapTotGHA,8613274.785,57482.3576,2083838.289,10539394.04,711391.7073,0,22005381.18,3A
1967,DNK,EFConsPerCap,1.391631302,0.059489579,0.686122931,0.993208294,0.147232723,4.125158197,7.402843024,3A
1967,DNK,EFConsTotGHA,6724014.543,287438.771,3315174.47,4798934.176,711391.7073,19931733.12,35768686.78,3A
1967,DNK,EFProdPerCap,1.782640821,0.011896799,0.300001174,1.55247306,0.147232723,3.323574165,7.117818742,3A
1967,DNK,EFProdTotGHA,8613274.785,57482.3576,1449530.673,7501161.71,711391.7073,16058679.47,34391520.7,3A
1968,DNK,AreaPerCap,0.709778377,0.031274587,0.110837764,2.04747867,0.058842851,0,2.958212248,3A
1968,DNK,AreaTotHA,3453831.14,152184.324,539344.2974,9963174.171,286333.4224,0,14394867.36,3A
1968,DNK,BiocapPerCap,1.86967275,0.011616737,0.42712061,2.161611472,0.155001729,0,4.625023298,3A
1968,DNK,BiocapTotGHA,9097958.151,56527.85267,2078398.712,10518552.36,754249.2349,0,22505686.31,3A
1968,DNK,EFConsPerCap,1.493965813,0.05867647,0.74713237,1.987047841,0.155001729,4.193873307,8.63569753,3A
1968,DNK,EFConsTotGHA,7269741.962,285523.7978,3635598.28,9669113.54,754249.2349,20407680.35,42021907.16,3A
1968,DNK,EFProdPerCap,1.86967275,0.011616737,0.366892936,2.994971474,0.155001729,3.574813959,8.972969585,3A
1968,DNK,EFProdTotGHA,9097958.151,56527.85267,1785326.644,14573740.31,754249.2349,17395294.33,43663096.53,3A
1969,DNK,AreaPerCap,0.70080815,0.030589617,0.110086215,2.033595499,0.058842887,0,2.933922367,3A
1969,DNK,AreaTotHA,3433462.389,149867.4044,539344.2974,9963174.171,288288.3678,0,14374136.63,3A
1969,DNK,BiocapPerCap,1.913085721,0.011283088,0.423533355,2.131985335,0.16063096,0,4.64051846,3A
1969,DNK,BiocapTotGHA,9372761.818,55279.12307,2075012.746,10445214.52,786977.6628,0,22735245.87,3A
1969,DNK,EFConsPerCap,1.414420279,0.076000009,0.783281553,1.924404105,0.16063096,4.789281214,9.14801812,3A
1969,DNK,EFConsTotGHA,6929655.186,372346.0861,3837523.511,9428213.863,786977.6628,23464077.74,44818794.05,3A
1969,DNK,EFProdPerCap,1.913085721,0.011283088,0.328058049,2.953923655,0.16063096,4.139083895,9.506065369,3A
1969,DNK,EFProdTotGHA,9372761.818,55279.12307,1607251.533,14472128.74,786977.6628,20278572.5,46572971.37,3A
1970,DNK,AreaPerCap,0.691878803,0.030299912,0.109372951,2.020419549,0.058842886,0,2.910814102,3A
1970,DNK,AreaTotHA,3411820.591,149416.1454,539344.2974,9963174.171,290168.4091,0,14353923.61,3A
1970,DNK,BiocapPerCap,1.75198304,0.011199428,0.420415393,2.122568555,0.14900259800000001,0,4.455169014,3A
1970,DNK,BiocapTotGHA,8639449.258,55227.071,2073169.301,10466895.46,734767.6057,0,21969508.69,3A
1970,DNK,EFConsPerCap,1.283580204,0.078891369,0.814207513,1.491494356,0.14900259800000001,5.078549908,8.895725947,3A
1970,DNK,EFConsTotGHA,6329642.344,389032.2921,4015052.848,7354916.976,734767.6057,25043549.64,43866961.71,3A
1970,DNK,EFProdPerCap,1.75198304,0.011199428,0.325925734,2.327903554,0.14900259800000001,4.410600953,8.976615308,3A
1970,DNK,EFProdTotGHA,8639449.258,55227.071,1607218.095,11479451.67,734767.6057,21749732.88,44265846.57,3A
1971,DNK,AreaPerCap,0.684031089,0.029661384,0.108700204,2.007992052,0.058842904,0,2.889227632,3A
1971,DNK,AreaTotHA,3393997.934,147172.6614,539344.2974,9963174.171,291964.3523,0,14335653.42,3A
1971,DNK,BiocapPerCap,1.860317207,0.010946414,0.417805106,2.106241324,0.16003142,0,4.55534147,3A
1971,DNK,BiocapTotGHA,9230447.069,54313.47646,2073048.563,10450663.46,794037.4603,0,22602510.03,3A
1971,DNK,EFConsPerCap,1.481388307,0.075827798,0.730527878,1.381444444,0.16003142,4.881565973,8.71078582,3A
1971,DNK,EFConsTotGHA,7350292.901,376239.3178,3624703.832,6854395.462,794037.4603,24221157.64,43220826.61,3A
1971,DNK,EFProdPerCap,1.860317207,0.010946414,0.298569044,1.980747073,0.16003142,4.07332583,8.383936988,3A
1971,DNK,EFProdTotGHA,9230447.069,54313.47646,1481427.868,9827991.133,794037.4603,20210864.22,41599081.22,3A
1972,DNK,AreaPerCap,0.68110534,0.029554354,0.108073122,1.996408124,0.058842829,0,2.873983768,3A
1972,DNK,AreaTotHA,3399090.122,147492.4761,539344.2974,9963174.171,293658.0674,0,14342759.13,3A
1972,DNK,BiocapPerCap,1.860084531,0.010944342,0.415505261,2.101276513,0.160698543,0,4.54850919,3A
1972,DNK,BiocapTotGHA,9282844.495,54618.28542,2073599.699,10486525.09,801974.0804,0,22699561.65,3A
1972,DNK,EFConsPerCap,1.430195559,0.07968326,0.840511172,1.512416471,0.160698543,5.05125942,9.074764424,3A
1972,DNK,EFConsTotGHA,7137462.166,397663.2759,4194612.867,7547789.722,801974.0804,25208561.71,45288063.82,3A
1972,DNK,EFProdPerCap,1.860084531,0.010944342,0.300750278,2.132505858,0.160698543,4.20751585,8.672499402,3A
1972,DNK,EFProdTotGHA,9282844.495,54618.28542,1500909.239,10642376.7,801974.0804,20997817.4,43280540.2,3A
1973,DNK,AreaPerCap,0.677988184,0.030376866,0.107497991,1.98578388,0.058842852,0,2.860489773,3A
1973,DNK,AreaTotHA,3401636.216,152408.3295,539344.2974,9963174.171,295229.2986,0,14351792.31,3A
1973,DNK,BiocapPerCap,1.708141414,0.011179993,0.413923642,2.077285638,0.148250242,0,4.358780928,3A
1973,DNK,BiocapTotGHA,8570172.507,56092.818,2076758.391,10422261.37,743808.5256,0,21869093.61,3A
1973,DNK,EFConsPerCap,1.250838952,0.065509212,0.959593411,1.472815079,0.148250242,5.317310324,9.21431722,3A
