country_code,year,gdp_us,gdp_growth_annual,gdp_per_capita_us,gdp_per_capita_growth_annual,gdp_per_capita_ppp,gdp_ppp
DOM,2019,88941299734.2073,5.05216802271153,8282.11635935324,3.95857057873576,19227.7155985312,206485630248.572
DOM,2020,NA,NA,NA,NA,NA,NA
ECU,2010,69555367000,3.52529866894027,4633.59035839904,1.89292757238246,9090.30823347373,136455680458.737
ECU,2011,79276664000,7.86814091910996,5200.55579014874,6.2210516775317,9857.52181613622,150266909235.128
ECU,2012,87924544000,5.641962066712,5682.04500655353,4.07025297076338,10311.4025981044,159559695566.132
ECU,2013,95129659000,4.94651126690626,6056.3308269681,3.38728046840993,11153.6845018163,175196209316.482
ECU,2014,101726331000,3.78886854920833,6377.09153014217,2.19894122709292,11713.1715024724,186846614273.657
ECU,2015,99290381000,0.0988726083462694,6124.49164262072,-1.5075851232001,11060.2876329825,179309604311.665
ECU,2016,99937696000,-1.22638398463879,6060.09332904416,-2.89802488713732,11034.2698481839,181967413007.433
ECU,2017,104295862000,2.36838652633651,6213.50127649921,0.573877116510374,11617.9087583298,195010792573.628
ECU,2018,107562008000,1.28929193290502,6295.93539868079,-0.483387784029659,11843.3936365093,202336764977.653
ECU,2019,107435665000,0.0537188288209904,6183.82382482173,-1.61236867338619,11878.7183637027,206376837844.164
ECU,2020,NA,NA,NA,NA,NA,NA
EGY,2010,218983666061.706,5.14723485873294,2645.96904651925,3.08086461640956,9522.51019855658,788094704332.638
EGY,2011,235989672977.625,1.76457194925801,2791.81079895568,-0.363937290737226,9686.0463784655,818754235836.905
EGY,2012,279116666666.667,2.22619979662137,3229.6856303038,-0.0129596367954008,11092.7432596071,958659720240.143
EGY,2013,288434108527.132,2.18546605471226,3262.65802934248,-0.105957426078575,11221.3819091064,992022227977.067
EGY,2014,305595408895.265,2.91591187883586,3379.55850951075,0.616853230317105,10895.9448542272,985262043446.578
EGY,2015,329366576819.407,4.37201907940117,3562.93273506849,2.0937221962983,11512.4023933352,1064235799328.8
EGY,2016,332441717791.411,4.34664345337812,3519.87320254259,2.13201200912982,11192.372891628,1057086848346.43
EGY,2017,235733695652.174,4.18122100091018,2444.29031115094,2.02557785770937,11014.4861365513,1062265603571.56
EGY,2018,249712999437.254,5.31412103746398,2537.1253654904,3.19443129839827,11643.2204975294,1145967618744.53
EGY,2019,303092255125.285,5.55768388791593,3019.20582861756,3.49204260671748,12283.8073656393,1233147750539.73
EGY,2020,NA,NA,NA,NA,NA,NA
SLV,2010,18447920000,2.10508575234947,2983.22977097694,1.67266593617137,6127.07874286177,37889089061.0143
