Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,1057801295584.05,1180489601957.61,1201089987015.45,1274443084716.57,1315351183524.54,1171867608197.72,1078490651625.31,1158913035796.37,1222348807283.2,1268870527160.03,..
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,296944100,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,..,..
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,6974960345.3712,8414360656.29632,8709165249.26928,9496684701.43325,9510219299.49557,7745231660.33425,8071480540.86068,9669759987.02633,11456717193.2501,11968713370.4969,..
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,5367625613.15127,6088808463.25167,5743029680.07195,6555983530.34932,7069616048.89066,6261622101.40908,6472990923.1791,6431314957.07185,7188238072.74445,..,..
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,7189481824.07288,10409797649.3063,12292770631.1967,12582122604.1921,12226514722.0861,11749620619.5962,11186734674.3847,11425755279.5395,13108769495.7425,13996719329.4097,..
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,4142931812.77707,4544575151.98546,4087561649.51236,4464502433.55448,4587741791.10639,4053097851.44823,4373958353.52982,4844606145.7683,5504255213.57871,5542577964.98146,..
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,93216746661.5977,101370474295.109,98266306615.3632,106825649872.108,110081248587.369,101179808076.36,103311649248.024,109682728023.112,118096227400.092,119700325461.938,..
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,11104648673.0016,14381552432.9494,16350804543.0515,16974320551.0213,17716084107.5888,15950969018.9458,11936999283.1791,13219084261.3664,14845870050.7092,15291448211.603,..
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,49540813342.4834,59977326085.9908,59937797559.3295,60269734044.526,65446199787.8425,67822772707.1034,67184236746.5694,68945867477.6054,76168043981.5932,76085852617.1371,..
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,11268186636.2905,12343501808.2192,13041886316.4832,12011207741.4591,12356482988.8683,11272143472.6244,10665634688.0779,12741746523.8632,13454211343.5949,12366528259.1844,..
GDP (current US$),NY.GDP.MKTP.CD,Nauru,NRU,47564520.3910861,66055407.6703145,96927201.4848422,98491843.6441982,104654365.188653,86779266.1619103,100087348.959092,109585941.624557,124021393.690412,118223430.124446,..
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,16002656434.4746,18913574370.76,18851513891.066,19271168018.482,20002968837.9471,21410840908.5198,21185922407.5922,25180583770.2719,29173513475.7073,30641380603.9699,..
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,846554894931.084,904085980796.018,838971306990.906,876923518850.405,890981311077.658,765264949780.999,783528181704.567,833869641687.06,914043438179.607,907050863145.097,..
GDP (current US$),NY.GDP.MKTP.CD,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,New Zealand,NZL,146619138358.948,168510189201.494,176247979235.906,190845889949.764,200921936786.219,177467529071.288,188223664746.524,205415864857.984,207920613961.749,206928765543.935,..
GDP (current US$),NY.GDP.MKTP.CD,Nicaragua,NIC,8758639096.47693,9774262741.75783,10532049076.9407,10982938825.6994,11880434070.7811,12756706583.3113,13286083644.8761,13785909906.1925,13063904770.3561,12520915291.1837,..
GDP (current US$),NY.GDP.MKTP.CD,Niger,NER,7851191899.3408,8772951261.81807,9426913349.22319,10224897934.722,10862944203.5591,9685577941.03195,10355006770.1014,11189541083.3975,12846952856.8458,12911689659.351,..
GDP (current US$),NY.GDP.MKTP.CD,Nigeria,NGA,361456622215.721,404993594133.582,455501524575.498,508692961937.492,546676374567.721,486803295097.89,404650006428.613,375746469538.666,397190484464.308,448120428858.769,..
